class,cap-shape,Cap-surface,cap-color,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,family,name,predicted_class
p,f,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,e,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,h,e,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,f,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,h,o,y,w,u,w,t,g,Amanita Family,Fly Agaric,p
p,x,g,o,y,w,u,w,t,p,Amanita Family,Fly Agaric,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,p,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,p,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,p,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,p,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,p,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,p,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,p,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,x,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
p,p,g,n,y,w,u,w,t,p,Amanita Family,Panther Cap,p
